,model_id,q_param,created_at,it
0,Qwen/Qwen3-0.6B,0.75,202507,True
1,Qwen/Qwen3-1.7B,2.03,202507,True
2,openai-community/gpt2-medium,0.38,201902,False
3,openai-community/gpt2,0.14,201902,False
4,openai-community/gpt2-xl,1.61,201902,False
5,HuggingFaceTB/SmolLM-135M,0.13,202408,False
6,HuggingFaceTB/SmolLM-135M-Instruct,0.13,202409,True
7,HuggingFaceTB/SmolLM-360M,0.36,202408,False
8,HuggingFaceTB/SmolLM-360M-Instruct,0.36,202408,True
9,HuggingFaceTB/SmolLM2-135M-Instruct,0.13,202509,True
10,Qwen/Qwen3-4B,4.02,202507,True
11,Qwen/Qwen3-8B,8.19,202507,True
12,Qwen/Qwen2-0.5B-Instruct,0.49,202408,True
13,Qwen/Qwen2-0.5B,0.49,202410,True
14,Qwen/Qwen2-1.5B,1.54,202406,True
15,meta-llama/Llama-3.2-1B,1.24,202410,False
16,meta-llama/Llama-3.2-1B-Instruct,1.24,202410,True
17,meta-llama/Llama-3.2-3B,3.21,202410,False
18,meta-llama/Llama-3.2-3B-Instruct,3.21,202410,True
19,meta-llama/Llama-2-7b-hf,6.74,202404,False
20,meta-llama/Llama-2-7b-chat-hf,6.74,202404,True
21,mistralai/Mistral-7B-v0.1,7.24,202507,False
22,mistralai/Mistral-7B-Instruct-v0.3,7.25,202512,True
23,facebook/opt-125m,0.125,202309,False
24,facebook/opt-1.3b,1.3,202309,False
25,CohereForAI/aya-expanse-8b,8.03,202601,True
26,HuggingFaceTB/SmolLM2-135M,0.13,202502,False
27,HuggingFaceTB/SmolLM2-360M-Instruct,0.36,202509,True
28,HuggingFaceTB/SmolLM2-360M,0.36,202502,False
29,google/gemma-3-4b-it,4.3,202503,True
30,google/gemma-3-4b-pt,4.3,202503,False
31,google/gemma-3-1b-it,1.0,202504,True
32,google/gemma-3-1b-pt,1.0,202503,False
33,google/gemma-3-270m-it,0.27,202508,True
34,google/gemma-3-270m,0.27,202508,False
35,google/gemma-2-2b,2.61,202408,False
36,google/gemma-2-2b-it,2.61,202408,True
37,google/gemma-2b,2.51,202409,False
38,google/gemma-2b-it,2.51,202409,True
